21三体综合症	trisomy
996	9am–9pm
A片	pornography
G弦裤	G-string
G点	G-spot
O型腿	bow-leggedness
U型池	half-pipe
U形转弯	U-turn
X光	X-ray
coser	cosplayer
ins	Instagram
□	uptight
〇	zero
𪢌哰	incoherent
㞗	dick
㥯	cautious
㹴犬	terrier
䍃	pitcher
鳚	blenny
一不小心	accidentally
一些	some
一代	generation
一来	firstly
一侧化	lateralization
一元	univariate
一元论	monism
一共	altogether
一再	repeatedly
一动不动	motionless
一匙	spoonful
一半	half
一味	persistently
一尘不染	incorruptible
一夕	overnight
一夫一妻	monogamy
一夫多妻	polygamy
一字不差	verbatim
一定要	must
一对	couple
一对一	one-to-one
一层	layer
一己	oneself
一带	region
一打	dozen
一排	row
一本正经	deadpan
一秉虔诚	devoutly
一等一	first-rate
一节诗	stanza
一线微光	gleam
一致性	consistency
一贫如洗	penniless
一钱如命	penny-pinching
一长一短	long-winded
丁丁	Tintin
丁内酯	butyrolactone
丁加奴	Terengganu
丁字	T-shaped
丁字梁	T-girder
丁字街	T-junction
丁烷	butane
丁鲷	tench
七国集团	G7
七日热	leptospirosis
七旬老人	septuagenarian
七月份	July
七边形	heptagon
七项全能	heptathlon
丈夫	husband
丈母娘	mother-in-law
三倍	triple
三价	trivalent
三叉戟	trident
三味线	shamisen
三弦	sanxian
三得利	Suntory
三月份	March
三朋四友	friends
三氯蔗糖	sucralose
三洋	Sanyō
三田	Mita
三联管	triplet
三胞胎	triplets
三色堇	pansy
三菱	Mitsubishi
三叶虫	trilobite
三藏	Tripitaka
三角学	trigonometry
三角形	triangle
三角龙	triceratops
三资企业	foreign
三部曲	trilogy
三重	treble
三驾马车	troika
上品	top-quality
上层建筑	superstructure
上标	superscript
上网本	netbook
上艾瑟尔	Overijssel
上进心	ambition
上都	Shangdu
上龙	pliosaurus
下一次	next
下列	following
下坡	downhill
下巴	chin
下旋削球	golf
下水管	drainpipe
下水道	sewer
下画线	underline
下关市	Shimonoseki
下颔	mandible
下风方向	leeward
不丹	Bhutan
不来梅港	Bremerhaven
不值得	unworthy
不偏不倚	impartial
不停	incessant
不备	unprepared
不免	inevitably
不兼容性	incompatibility
不凡	extraordinary
